kospi,kosdaq,sp500,nasdaq,exchangerate,bok,price_gold,price_btc
2216.19,801.69,3235.66,10461.42,1201.45,0.5,72530.0,11330000.0
2200.44,794.8,3215.63,10363.18,1201.5,0.5,73940.0,11334000.0
2217.86,801.23,3239.41,10536.27,1195.57,0.5,77460.0,12910000.0
2256.99,807.85,3218.44,10402.09,1199.46,0.5,80100.0,12760000.0
2263.16,808.59,3258.44,10542.94,1189.79,0.5,78230.0,13118000.0
2267.01,814.19,3246.22,10587.81,1189.62,0.5,78550.0,13100000.0
2249.37,815.3,3271.12,10745.27,1193.59,0.5,78070.0,13408000.0
2251.04,827.57,3294.61,10902.8,1192.59,0.5,78970.0,13275000.0
2279.97,835.35,3306.51,10941.17,1193.2,0.5,77980.0,13310000.0
2311.86,847.28,3327.77,10998.4,1186.05,0.5,79000.0,13851000.0
2342.61,854.12,3349.16,11108.07,1183.5,0.5,79370.0,13865000.0
2351.67,857.63,3351.28,11010.98,1188.68,0.5,79430.0,13762000.0
2386.38,862.76,3360.47,10968.36,1185.58,0.5,78390.0,13997000.0
2418.67,860.23,3333.69,10782.82,1185.62,0.5,77170.0,13610000.0
2432.35,845.6,3380.35,11012.24,1183.23,0.5,72530.0,13681000.0
2437.53,854.77,3373.43,11042.5,1184.92,0.5,74200.0,13816000.0
2407.49,835.03,3372.85,11019.3,1186.94,0.5,74940.0,13830000.0
2348.24,800.22,3389.78,11210.84,1182.7,0.5,76500.0,13996000.0
2360.54,818.74,3374.85,11146.46,1181.74,0.5,76100.0,13872000.0
2274.22,791.14,3385.51,11264.95,1185.24,0.5,74690.0,13944000.0
2304.59,796.01,3397.16,11311.8,1191.72,0.5,74480.0,13774000.0
2329.83,815.74,3431.28,11379.72,1188.66,0.5,74030.0,13842000.0
2366.73,836.31,3443.62,11466.47,1187.35,0.5,73770.0,13471000.0
2369.32,841.35,3478.73,11665.06,1184.39,0.5,73340.0,13538000.0
2344.45,836.4,3484.55,11625.34,1187.44,0.5,73970.0,13413000.0
2353.8,841.3,3508.01,11695.63,1180.48,0.5,74000.0,13522000.0
2326.17,848.24,3500.31,11775.46,1187.94,0.5,75000.0,13728000.0
2349.55,853.37,3526.65,11939.67,1185.45,0.5,75620.0,13967000.0
2364.37,866.74,3580.84,12056.44,1189.13,0.5,74930.0,13574000.0
2395.9,874.13,3455.06,11458.1,1191.48,0.5,74050.0,12301000.0
2368.25,866.04,3426.96,11313.13,1187.3,0.5,74170.0,12625000.0
2401.91,878.29,3331.84,10847.69,1190.1,0.5,73940.0,12126000.0
2375.81,869.47,3398.96,11141.56,1184.79,0.5,73740.0,12160000.0
2396.48,884.3,3339.19,10919.59,1188.11,0.5,74190.0,12320000.0
2396.69,888.44,3340.97,10853.55,1187.89,0.5,74220.0,12332000.0
2427.91,894.17,3383.54,11056.65,1181.51,0.5,74150.0,12633000.0
2443.58,899.46,3401.2,11190.32,1179.76,0.5,74630.0,12803000.0
2435.92,896.28,3385.49,11050.47,1172.88,0.5,74210.0,12900000.0
2406.17,885.18,3357.01,10910.28,1169.2,0.5,73610.0,12786000.0
2412.4,888.88,3319.47,10793.28,1164.81,0.5,73100.0,12769000.0
2389.39,866.99,3281.06,10778.94,1163.61,0.5,72760.0,12266000.0
2332.59,842.72,3315.57,10963.77,1163.61,0.5,71640.0,12326000.0
2333.24,843.45,3236.92,10633.15,1170.65,0.5,70300.0,11946000.0
2272.7,806.95,3246.59,10672.43,1169.1,0.5,69800.0,12495000.0
2278.79,808.28,3298.46,10913.73,1174.32,0.5,70540.0,12441000.0
2308.08,835.91,3351.6,11117.7,1166.85,0.5,70350.0,12450000.0
2327.89,848.15,3335.47,11085.42,1168.73,0.5,70780.0,12598000.0
2358.0,858.39,3408.63,11332.58,1157.12,0.5,71050.0,12529000.0
2365.9,862.58,3360.95,11154.7,1164.37,0.5,71560.0,12418000.0
2386.94,869.66,3419.45,11364.7,1157.26,0.5,70580.0,12409000.0
2391.96,871.62,3446.83,11421.08,1151.11,0.5,70350.0,12566000.0
2403.73,873.5,3534.22,11876.36,1147.79,0.5,71390.0,13174000.0
2403.15,871.92,3511.93,11864.0,1148.3,0.5,71060.0,13114000.0
